,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,OH,10420,"Akron, OH",11-0000,Management Occupations,major,15550,1.8,49.012,0.99,49.76,103510,1.7,21.85,31.11,42.99,61.21,87.41,45440,64720,89430,127320,181820,2013
32,OH,10420,"Akron, OH",13-0000,Business and Financial Operations Occupations,major,14300,4.1,45.094,0.9,29.04,60410,1.3,15.22,20.1,27,35.55,44.59,31650,41810,56160,73950,92750,2013
59,OH,10420,"Akron, OH",15-0000,Computer and Mathematical Occupations,major,8540,16,26.928,0.97,32.98,68600,3.1,16.86,22.95,33.09,42.2,50.88,35060,47740,68820,87770,105830,2013
74,OH,10420,"Akron, OH",17-0000,Architecture and Engineering Occupations,major,6450,5.2,20.345,1.13,33.35,69360,2,18.94,24.63,31.98,40.95,50.66,39390,51240,66520,85190,105380,2013
96,OH,10420,"Akron, OH",19-0000,"Life, Physical, and Social Science Occupations",major,1860,7.4,5.872,0.69,28.55,59390,2.1,15.75,20.24,26.86,34.41,42.41,32770,42110,55870,71580,88200,2013
111,OH,10420,"Akron, OH",21-0000,Community and Social Service Occupations,major,4630,5.7,14.594,1.02,22.76,47350,3.8,12.12,15.93,20.71,27.53,36.42,25200,33130,43070,57270,75760,2013
126,OH,10420,"Akron, OH",23-0000,Legal Occupations,major,1970,8.4,6.196,0.79,31.37,65240,5.8,13.09,17.46,24.13,36.1,58.69,27230,36320,50190,75090,122080,2013
134,OH,10420,"Akron, OH",25-0000,"Education, Training, and Library Occupations",major,19790,2.9,62.388,0.98,27.26,56700,3.8,10.56,16.29,26.06,33.76,41.83,21970,33880,54210,70210,87010,2013
181,OH,10420,"Akron, OH",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,3050,5.8,9.625,0.73,21.16,44010,2.8,8.89,12.81,19.96,27.63,35.17,18490,26640,41520,57470,73150,2013
202,OH,10420,"Akron, OH",29-0000,Healthcare Practitioners and Technical Occupations,major,21160,4.6,66.724,1.14,35,72790,4,16.16,21.94,28.31,35.67,62.12,33620,45640,58880,74190,129200,2013
248,OH,10420,"Akron, OH",31-0000,Healthcare Support Occupations,major,12470,3.4,39.327,1.33,12.22,25420,1.9,8.43,9.33,11.25,13.96,17.06,17540,19400,23400,29030,35490,2013
264,OH,10420,"Akron, OH",33-0000,Protective Service Occupations,major,5710,4.4,18.011,0.73,19.97,41550,4.2,8.77,11.74,19.6,26.87,31.82,18230,24410,40760,55900,66190,2013
279,OH,10420,"Akron, OH",35-0000,Food Preparation and Serving Related Occupations,major,28530,1.9,89.953,1,9.99,20790,1.1,8.08,8.43,9,10.41,13.57,16810,17520,18720,21650,28230,2013
