,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,OH,10420,"Akron, OH",11-0000,Management Occupations,major,15660,3.8,49.74,1.01,48.98,101890,1.5,22.04,31.09,42.02,59.18,86.55,45840,64660,87400,123090,180030,2012
29,OH,10420,"Akron, OH",13-0000,Business and Financial Operations Occupations,major,13350,4.1,42.393,0.86,28.55,59390,1.7,14.59,19.52,25.74,34.32,45.14,30340,40600,53540,71390,93900,2012
57,OH,10420,"Akron, OH",15-0000,Computer and Mathematical Occupations,major,8460,15.5,26.855,0.98,31.92,66390,3,16.87,22.32,31.35,40.6,48.45,35090,46430,65210,84440,100780,2012
71,OH,10420,"Akron, OH",17-0000,Architecture and Engineering Occupations,major,6220,8,19.738,1.09,32.81,68240,1.7,18.98,24.32,31.55,39.88,49.27,39480,50590,65620,82950,102480,2012
95,OH,10420,"Akron, OH",19-0000,"Life, Physical, and Social Science Occupations",major,1780,6.7,5.645,0.67,28.31,58890,2.2,15.24,19.62,26.64,34.43,42.89,31690,40810,55410,71610,89210,2012
108,OH,10420,"Akron, OH",21-0000,Community and Social Service Occupations,major,4610,10.3,14.654,1.01,21.51,44740,4.9,10.84,14.8,19.46,26.53,35.55,22560,30780,40480,55180,73940,2012
123,OH,10420,"Akron, OH",23-0000,Legal Occupations,major,1980,9.8,6.275,0.8,32.55,67700,5.4,13.7,19.38,25.08,37.9,61.37,28510,40310,52170,78830,127640,2012
131,OH,10420,"Akron, OH",25-0000,"Education, Training, and Library Occupations",major,19900,3.2,63.193,0.98,26.24,54580,4,11.03,16.04,24.75,32.89,38.91,22940,33370,51490,68400,80940,2012
159,OH,10420,"Akron, OH",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,3100,6.2,9.842,0.73,20.6,42850,3.1,8.68,11.15,18.39,26.56,34.13,18050,23180,38250,55250,71000,2012
181,OH,10420,"Akron, OH",29-0000,Healthcare Practitioners and Technical Occupations,major,21670,8.4,68.817,1.17,35.77,74400,3.9,16.13,21.6,28.08,36.41,66.54,33550,44920,58410,75740,138400,2012
229,OH,10420,"Akron, OH",31-0000,Healthcare Support Occupations,major,13010,4.6,41.302,1.37,11.8,24540,2.1,8.22,9.02,10.67,13.33,16.87,17110,18750,22190,27720,35090,2012
244,OH,10420,"Akron, OH",33-0000,Protective Service Occupations,major,5660,4.8,17.975,0.73,19.55,40660,4.7,8.78,11.81,18.75,26.3,30.78,18260,24570,38990,54710,64020,2012
259,OH,10420,"Akron, OH",35-0000,Food Preparation and Serving Related Occupations,major,27260,2.4,86.576,0.98,9.88,20560,1.1,7.95,8.32,8.93,10.29,13.42,16530,17300,18580,21400,27910,2012
275,OH,10420,"Akron, OH",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,9140,6.9,29.019,0.89,12.87,26770,3.2,8.2,8.95,11.05,16.09,20.32,17050,18620,22990,33470,42260,2012
282,OH,10420,"Akron, OH",39-0000,Personal Care and Service Occupations,major,6200,5.2,19.675,0.67,11.17,23240,2.5,8.02,8.49,9.29,12.16,17.6,16670,17660,19320,25290,36620,2012
300,OH,10420,"Akron, OH",41-0000,Sales and Related Occupations,major,35280,2.3,112.042,1.06,17.51,36430,2.9,8.17,8.86,11.28,20.62,34.48,16990,18440,23470,42880,71710,2012
319,OH,10420,"Akron, OH",43-0000,Office and Administrative Support Occupations,major,51550,2.3,163.695,1,15.77,32800,1.2,9.13,11.52,14.54,18.69,24.34,18980,23960,30250,38870,50630,2012
370,OH,10420,"Akron, OH",45-0000,"Farming, Fishing, and Forestry Occupations",major,90,19.8,0.276,0.08,12.78,26580,5.7,8.4,9.49,11,14.12,20.56,17460,19740,22880,29360,42770,2012
373,OH,10420,"Akron, OH",47-0000,Construction and Extraction Occupations,major,9340,5.3,29.663,0.78,22.24,46250,1.9,12.47,16.03,21.19,28.21,34,25940,33350,44080,58670,70720,2012
402,OH,10420,"Akron, OH",49-0000,"Installation, Maintenance, and Repair Occupations",major,12530,4.3,39.803,1.02,19.36,40280,2.2,10.06,13.55,18.2,23.74,30.99,20930,28190,37860,49370,64460,2012
431,OH,10420,"Akron, OH",51-0000,Production Occupations,major,26000,3.9,82.575,1.25,16.46,34230,1.4,9.51,11.73,15.3,19.74,25.21,19780,24400,31830,41050,52440,2012
497,OH,10420,"Akron, OH",53-0000,Transportation and Material Moving Occupations,major,22120,4.3,70.245,1.04,14.88,30940,2.7,8.32,9.26,12.81,18.15,24.91,17320,19270,26650,37760,51820,2012
520,OH,15940,"Canton-Massillon, OH",11-0000,Management Occupations,major,6650,4.4,40.935,0.83,39.17,81470,1.7,16.74,23.74,34.81,46.92,66.4,34820,49380,72410,97600,138100,2012
544,OH,15940,"Canton-Massillon, OH",13-0000,Business and Financial Operations Occupations,major,5320,8.5,32.739,0.66,25.95,53970,2,13.21,17.68,24.15,31.75,40.13,27480,36760,50230,66050,83460,2012
569,OH,15940,"Canton-Massillon, OH",15-0000,Computer and Mathematical Occupations,major,1770,13.7,10.869,0.4,29.52,61410,3.9,14.83,19.74,27.83,37.29,46.14,30850,41050,57890,77560,95970,2012
579,OH,15940,"Canton-Massillon, OH",17-0000,Architecture and Engineering Occupations,major,2170,25.8,13.351,0.74,31.85,66250,2.7,16.93,23.74,30.87,38.37,46.95,35210,49380,64210,79810,97660,2012
593,OH,15940,"Canton-Massillon, OH",19-0000,"Life, Physical, and Social Science Occupations",major,630,22.6,3.905,0.46,28.21,58670,4.4,13.5,17.59,25.48,35.2,47.16,28080,36580,52990,73210,98090,2012
599,OH,15940,"Canton-Massillon, OH",21-0000,Community and Social Service Occupations,major,2500,5.6,15.36,1.06,19.6,40770,3.4,10.43,13.39,17.92,25.35,31.95,21690,27840,37260,52730,66450,2012
612,OH,15940,"Canton-Massillon, OH",23-0000,Legal Occupations,major,750,12.6,4.618,0.59,38.08,79210,9.6,14.34,17.91,27.6,43.72,76.43,29830,37260,57400,90940,158980,2012
616,OH,15940,"Canton-Massillon, OH",25-0000,"Education, Training, and Library Occupations",major,10940,4.4,67.279,1.05,25.71,53470,6.4,9.96,14.5,23.76,32.85,42.96,20720,30160,49430,68320,89360,2012
649,OH,15940,"Canton-Massillon, OH",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1590,7,9.799,0.73,17.68,36770,4.2,8.43,9.71,14.89,22.95,30.42,17530,20200,30970,47740,63270,2012
665,OH,15940,"Canton-Massillon, OH",29-0000,Healthcare Practitioners and Technical Occupations,major,11770,13.1,72.405,1.23,32.35,67300,3.4,14.64,18.62,25.98,34.24,56.15,30460,38730,54030,71220,116790,2012
707,OH,15940,"Canton-Massillon, OH",31-0000,Healthcare Support Occupations,major,8500,5.6,52.32,1.74,11.07,23030,2,8.1,8.7,10.01,12.25,15.18,16840,18090,20810,25480,31570,2012
722,OH,15940,"Canton-Massillon, OH",33-0000,Protective Service Occupations,major,2870,6.4,17.655,0.72,16.85,35050,5,8.37,9.36,13.85,23.45,29.15,17400,19470,28800,48790,60640,2012
734,OH,15940,"Canton-Massillon, OH",35-0000,Food Preparation and Serving Related Occupations,major,16040,2.3,98.71,1.11,9.53,19810,1.6,7.93,8.28,8.86,9.7,12.5,16500,17220,18420,20170,26010,2012
751,OH,15940,"Canton-Massillon, OH",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,5000,5.1,30.758,0.94,11.92,24790,2,8.17,8.88,10.58,13.98,17.9,17000,18480,22010,29080,37230,2012
758,OH,15940,"Canton-Massillon, OH",39-0000,Personal Care and Service Occupations,major,3890,7.8,23.919,0.82,10.31,21440,2,7.98,8.39,9.08,11,14.43,16590,17460,18900,22880,30020,2012
771,OH,15940,"Canton-Massillon, OH",41-0000,Sales and Related Occupations,major,17930,3.4,110.29,1.04,14.75,30690,2.1,8.1,8.69,10.08,16.29,27.51,16850,18080,20960,33880,57220,2012
790,OH,15940,"Canton-Massillon, OH",43-0000,Office and Administrative Support Occupations,major,23820,2.7,146.569,0.89,14.72,30610,1.8,8.73,10.43,13.39,17.48,23.02,18160,21690,27850,36360,47870,2012
835,OH,15940,"Canton-Massillon, OH",45-0000,"Farming, Fishing, and Forestry Occupations",major,90,38.7,0.535,0.16,12.39,25770,3.2,8.15,8.83,10.64,14.82,19.89,16950,18360,22130,30820,41380,2012
836,OH,15940,"Canton-Massillon, OH",47-0000,Construction and Extraction Occupations,major,5270,6.3,32.426,0.85,21.3,44300,2.4,10.78,14.94,20.39,27.63,33.58,22430,31070,42420,57470,69850,2012
858,OH,15940,"Canton-Massillon, OH",49-0000,"Installation, Maintenance, and Repair Occupations",major,6390,5.8,39.313,1.01,18.27,38010,1.6,10.3,13.33,17.22,21.85,28.18,21420,27730,35820,45450,58610,2012
884,OH,15940,"Canton-Massillon, OH",51-0000,Production Occupations,major,17650,9.7,108.574,1.65,15.17,31560,1.6,9.28,11.05,14.18,17.85,21.98,19310,22990,29500,37130,45720,2012
938,OH,15940,"Canton-Massillon, OH",53-0000,Transportation and Material Moving Occupations,major,11000,6.6,67.673,1.01,14.46,30080,2.2,8.34,9.3,12.96,17.54,23.37,17340,19350,26960,36490,48610,2012
958,OH,17140,"Cincinnati-Middletown, OH-KY-IN",11-0000,Management Occupations,major,50920,2.5,51.899,1.06,50.47,104980,0.9,22.3,31.09,43.93,61.42,88.52,46380,64660,91380,127760,184130,2012
991,OH,17140,"Cincinnati-Middletown, OH-KY-IN",13-0000,Business and Financial Operations Occupations,major,52900,4.1,53.919,1.09,31.2,64890,1.3,16.8,21.5,28.21,37.24,49.02,34940,44720,58670,77450,101960,2012
1023,OH,17140,"Cincinnati-Middletown, OH-KY-IN",15-0000,Computer and Mathematical Occupations,major,28510,3.7,29.056,1.06,35.03,72870,1.3,19.02,24.67,33.66,43.49,54.57,39550,51310,70010,90450,113510,2012
1039,OH,17140,"Cincinnati-Middletown, OH-KY-IN",17-0000,Architecture and Engineering Occupations,major,17780,3.6,18.126,1,35.74,74330,2.1,19.59,26.03,34.03,43.79,55.27,40750,54150,70790,91090,114950,2012
1068,OH,17140,"Cincinnati-Middletown, OH-KY-IN",19-0000,"Life, Physical, and Social Science Occupations",major,6760,4.1,6.893,0.81,30.12,62640,4.5,14.92,19.32,26.29,36.57,47.66,31030,40180,54690,76070,99130,2012
1093,OH,17140,"Cincinnati-Middletown, OH-KY-IN",21-0000,Community and Social Service Occupations,major,11580,3.6,11.799,0.82,20.15,41920,1.9,11.61,14.33,18.45,24.94,31.67,24150,29800,38370,51890,65880,2012
1111,OH,17140,"Cincinnati-Middletown, OH-KY-IN",23-0000,Legal Occupations,major,6180,5.6,6.297,0.8,41.32,85950,4.3,16.21,21.81,32.93,51.15,79.71,33720,45370,68500,106380,165800,2012
1119,OH,17140,"Cincinnati-Middletown, OH-KY-IN",25-0000,"Education, Training, and Library Occupations",major,55390,3.1,56.455,0.88,25.39,52810,4.3,9.92,14.05,22.77,32.57,41.5,20640,29220,47370,67750,86320,2012
1174,OH,17140,"Cincinnati-Middletown, OH-KY-IN",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,11520,5.8,11.74,0.87,21.23,44170,3.2,8.54,10.7,18.75,27.46,37.31,17770,22260,38990,57130,77610,2012
1209,OH,17140,"Cincinnati-Middletown, OH-KY-IN",29-0000,Healthcare Practitioners and Technical Occupations,major,61330,5.1,62.518,1.06,33.45,69590,2,15.44,20.82,27.58,35.91,57.31,32120,43300,57360,74680,119190,2012
1266,OH,17140,"Cincinnati-Middletown, OH-KY-IN",31-0000,Healthcare Support Occupations,major,33180,3.9,33.819,1.13,13.08,27210,1.5,9.02,10.27,12.17,14.49,17.91,18760,21350,25320,30150,37260,2012
1284,OH,17140,"Cincinnati-Middletown, OH-KY-IN",33-0000,Protective Service Occupations,major,20810,3.6,21.213,0.86,19.38,40310,3.8,8.77,11.23,17.34,26.68,33.11,18240,23360,36060,55490,68860,2012
1302,OH,17140,"Cincinnati-Middletown, OH-KY-IN",35-0000,Food Preparation and Serving Related Occupations,major,93680,1.5,95.489,1.08,9.83,20440,0.8,7.89,8.27,8.91,10.27,13.6,16410,17200,18530,21360,28290,2012
1320,OH,17140,"Cincinnati-Middletown, OH-KY-IN",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,27720,2.7,28.255,0.87,12.32,25620,1.3,8.25,9.18,11.2,14.21,18.12,17170,19100,23300,29560,37690,2012
1329,OH,17140,"Cincinnati-Middletown, OH-KY-IN",39-0000,Personal Care and Service Occupations,major,23330,3.9,23.777,0.81,11.62,24180,2.2,8,8.56,9.63,12.77,17.7,16640,17800,20020,26550,36810,2012
1351,OH,17140,"Cincinnati-Middletown, OH-KY-IN",41-0000,Sales and Related Occupations,major,103740,1.8,105.748,1,19.05,39620,1.9,8.24,9.11,12.65,22.25,38.7,17150,18950,26310,46290,80490,2012
1372,OH,17140,"Cincinnati-Middletown, OH-KY-IN",43-0000,Office and Administrative Support Occupations,major,166170,1.8,169.376,1.03,16.32,33950,0.5,9.39,11.83,15.36,19.85,25.16,19530,24610,31940,41280,52340,2012
1424,OH,17140,"Cincinnati-Middletown, OH-KY-IN",45-0000,"Farming, Fishing, and Forestry Occupations",major,610,28,0.62,0.19,12.93,26890,3.5,8.25,9.3,10.79,13.94,23.8,17160,19350,22430,28990,49510,2012
1429,OH,17140,"Cincinnati-Middletown, OH-KY-IN",47-0000,Construction and Extraction Occupations,major,29830,3.9,30.408,0.8,21.32,44350,1.1,12.39,15.74,20.75,26.49,31.83,25770,32740,43160,55100,66210,2012
1469,OH,17140,"Cincinnati-Middletown, OH-KY-IN",49-0000,"Installation, Maintenance, and Repair Occupations",major,35760,3.4,36.452,0.94,20.84,43340,1.1,11.56,15.25,20.04,25.92,31.88,24040,31710,41680,53900,66310,2012
