,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,10350,1.9,61.569,1.28,47.63,99070,2.3,22.83,31.14,42.85,57.33,76.54,47490,64770,89130,119250,159200,2011
25,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,7270,2.5,43.24,0.9,33.69,70070,1.5,19.81,24.69,31.37,40.22,51.1,41210,51350,65240,83650,106290,2011
49,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,3390,4.6,20.178,0.76,34.13,70980,1.7,20.36,25.17,33.46,41.95,49.82,42340,52360,69600,87250,103630,2011
60,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,5440,3.6,32.364,1.8,45.33,94280,2.8,24.06,30.99,41.43,54.61,71.8,50040,64470,86170,113590,149350,2011
85,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,2750,3.1,16.37,1.94,34.7,72170,3.2,17.12,22.85,31.33,42.36,55.17,35610,47540,65160,88100,114750,2011
105,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,3470,5.6,20.642,1.4,23.22,48290,3.6,13.36,16.86,21.86,28.3,35.26,27780,35070,45470,58860,73330,2011
120,AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,1390,7.4,8.286,1.06,41.06,85400,8.2,20.58,23.4,33.89,49.29,67.14,42800,48680,70500,102520,139650,2011
125,AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,9880,1.2,58.759,0.9,29.85,62080,2.7,9.57,19.89,29.41,38.35,48.11,19900,41380,61170,79760,100060,2011
138,AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2180,4.9,12.947,0.96,21.24,44180,3.6,12.1,15.57,19.17,24.18,33.78,25180,32390,39870,50290,70270,2011
155,AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,9220,1.8,54.843,0.94,43.83,91170,4.1,19.38,28.16,37.67,47.34,74.22,40310,58560,78350,98470,154380,2011
190,AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,4780,4.9,28.436,0.92,17.88,37190,2.7,10.82,14.59,17.02,20.43,24.68,22510,30340,35400,42500,51340,2011
201,AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,4150,5.2,24.656,0.99,22.04,45840,6.8,11.93,13.58,19.02,28.33,37.12,24820,28250,39570,58920,77220,2011
212,AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,14010,2.2,83.342,0.95,11.3,23500,2,8.2,8.75,10.03,13.07,16.8,17060,18210,20860,27180,34940,2011
229,AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,5270,4.4,31.349,0.96,14.08,29280,4.4,8.73,10.17,12.9,16.54,21.08,18150,21160,26830,34410,43850,2011
236,AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,6400,6.4,38.056,1.35,13.38,27830,2.1,8.51,9.62,12.67,16.2,18.52,17700,20000,26360,33690,38520,2011
250,AK,11260,"Anchorage, AK",41-0000,Sales and Related Occupations,major,15730,4.7,93.543,0.88,16.58,34490,2.4,9.04,10.4,13.12,18.91,27.98,18800,21640,27280,39320,58200,2011
269,AK,11260,"Anchorage, AK",43-0000,Office and Administrative Support Occupations,major,29950,2.4,178.162,1.07,18.89,39290,1,11.28,14.19,17.86,22.63,27.75,23450,29520,37140,47060,57710,2011
314,AK,11260,"Anchorage, AK",47-0000,Construction and Extraction Occupations,major,8480,3.6,50.418,1.3,28.84,59980,1.6,15.9,21.65,28.92,35.32,42.43,33070,45040,60150,73460,88260,2011
339,AK,11260,"Anchorage, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,7140,3.4,42.467,1.09,26.64,55400,2,14.46,18.91,26.31,34.07,40.59,30080,39330,54730,70860,84430,2011
367,AK,11260,"Anchorage, AK",51-0000,Production Occupations,major,3390,7.4,20.156,0.31,20.66,42980,4,9.46,11.77,17.57,27.21,36.87,19680,24480,36540,56600,76700,2011
393,AK,11260,"Anchorage, AK",53-0000,Transportation and Material Moving Occupations,major,13470,10.1,80.105,1.19,23.42,48700,6.9,10.6,13.71,18.55,26.68,37.74,22060,28520,38590,55490,78510,2011
423,AK,21820,"Fairbanks, AK",11-0000,Management Occupations,major,1800,5,50.954,1.06,43.79,91080,2.8,21.15,30.32,40.4,54.84,69.58,43980,63070,84030,114060,144720,2011
436,AK,21820,"Fairbanks, AK",13-0000,Business and Financial Operations Occupations,major,1290,4.4,36.635,0.76,32.03,66620,1.8,20.13,24.83,30.7,37.12,45.49,41870,51650,63860,77210,94610,2011
449,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,major,560,6.4,15.942,0.6,32.96,68550,2.2,20.44,26.88,33.1,38.95,45.2,42520,55910,68860,81020,94010,2011
455,AK,21820,"Fairbanks, AK",17-0000,Architecture and Engineering Occupations,major,760,9.2,21.455,1.19,39.36,81870,3.3,22.95,29.48,38.06,45.4,57.39,47730,61310,79170,94440,119360,2011
466,AK,21820,"Fairbanks, AK",19-0000,"Life, Physical, and Social Science Occupations",major,1290,6.4,36.598,4.34,28.51,59300,1.6,16.16,20.69,27.35,34.83,42.68,33620,43030,56880,72440,88780,2011
478,AK,21820,"Fairbanks, AK",21-0000,Community and Social Service Occupations,major,730,24.9,20.701,1.4,25.34,52710,3.5,13.97,18.63,23.59,30.1,37.57,29070,38760,49070,62600,78140,2011
484,AK,21820,"Fairbanks, AK",23-0000,Legal Occupations,major,190,14.1,5.281,0.68,40.78,84830,8.4,19.52,24.05,34.95,52.89,68.12,40610,50020,72710,110000,141680,2011
488,AK,21820,"Fairbanks, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,320,10.6,9.016,0.67,19.77,41130,6.3,10.89,13.62,18.27,24.8,29.67,22660,28320,37990,51580,61710,2011
492,AK,21820,"Fairbanks, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,1980,37.1,55.963,0.96,42.44,88270,4.9,19.16,26.63,36.87,49.47,68.76,39850,55390,76690,102910,143020,2011
507,AK,21820,"Fairbanks, AK",31-0000,Healthcare Support Occupations,major,610,27.3,17.23,0.56,18.27,37990,4.8,10.39,14.85,17.27,21.52,26.58,21620,30880,35920,44770,55280,2011
513,AK,21820,"Fairbanks, AK",33-0000,Protective Service Occupations,major,1000,10.3,28.367,1.14,22.59,46980,5.3,9.33,14.28,21.97,28.52,36.57,19400,29710,45690,59320,76080,2011
519,AK,21820,"Fairbanks, AK",35-0000,Food Preparation and Serving Related Occupations,major,2940,8.7,83.284,0.95,11.53,23990,2.9,8.28,8.94,10.5,13.63,16.81,17220,18600,21830,28340,34960,2011
530,AK,21820,"Fairbanks, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,950,9.2,26.956,0.82,14.17,29470,3.5,9.59,10.76,13.05,16.64,20.69,19940,22380,27140,34600,43040,2011
535,AK,21820,"Fairbanks, AK",39-0000,Personal Care and Service Occupations,major,890,19.4,25.223,0.89,13.75,28600,3.7,8.5,9.59,13.05,16.63,18.51,17670,19950,27150,34600,38500,2011
543,AK,21820,"Fairbanks, AK",41-0000,Sales and Related Occupations,major,3270,7.9,92.535,0.87,15.33,31890,2.5,8.92,10.49,13.52,18.08,24.75,18560,21820,28110,37610,51480,2011
554,AK,21820,"Fairbanks, AK",43-0000,Office and Administrative Support Occupations,major,6170,3.8,174.814,1.05,19.19,39920,2.1,12.4,14.78,18.11,22.58,27.71,25800,30740,37670,46960,57650,2011
585,AK,21820,"Fairbanks, AK",47-0000,Construction and Extraction Occupations,major,2480,4.6,70.279,1.82,31.22,64930,3.3,19.34,24.86,31.03,36.04,45.23,40230,51700,64530,74960,94080,2011
597,AK,21820,"Fairbanks, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,1920,6.2,54.321,1.4,27.34,56870,3.7,14.17,20.36,27.41,34.8,40.62,29480,42350,57020,72390,84500,2011
612,AK,21820,"Fairbanks, AK",51-0000,Production Occupations,major,1020,8.1,28.933,0.44,27.39,56960,3.8,14.43,19.49,27.63,35.06,41.24,30000,40540,57460,72930,85780,2011
623,AK,21820,"Fairbanks, AK",53-0000,Transportation and Material Moving Occupations,major,2350,8.2,66.626,0.99,22.62,47050,5.4,11.32,14.94,20.48,28.04,39.37,23540,31070,42600,58320,81900,2011
636,AL,11500,"Anniston-Oxford, AL",11-0000,Management Occupations,major,1180,6.5,25.965,0.54,41.4,86100,2.3,21.52,29.23,37.24,49.82,65.32,44760,60800,77450,103630,135880,2011
645,AL,11500,"Anniston-Oxford, AL",13-0000,Business and Financial Operations Occupations,major,1410,3.9,31.065,0.65,28.56,59410,2.9,16.05,22.81,28.06,34.18,41.91,33390,47450,58370,71100,87170,2011
655,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and Mathematical Occupations,major,520,17.8,11.371,0.43,30.57,63580,5,18.14,20.95,28.52,37.85,47.39,37730,43590,59320,78720,98570,2011
662,AL,11500,"Anniston-Oxford, AL",17-0000,Architecture and Engineering Occupations,major,660,10.1,14.563,0.81,33.51,69690,3.3,19.17,25.41,32.77,40.8,48.14,39870,52860,68150,84850,100140,2011
670,AL,11500,"Anniston-Oxford, AL",19-0000,"Life, Physical, and Social Science Occupations",major,180,7.5,4.05,0.48,28.76,59810,2,18.7,22.19,28.51,34.18,41.72,38900,46160,59300,71100,86780,2011
672,AL,11500,"Anniston-Oxford, AL",21-0000,Community and Social Service Occupations,major,290,10,6.442,0.44,18.94,39400,3.9,10.08,13.73,18.7,24.24,28.23,20960,28560,38900,50410,58720,2011
676,AL,11500,"Anniston-Oxford, AL",23-0000,Legal Occupations,major,**,**,**,**,25.05,52100,12.8,15.24,16.76,19.99,26.38,48.79,31690,34870,41580,54870,101480,2011
678,AL,11500,"Anniston-Oxford, AL",25-0000,"Education, Training, and Library Occupations",major,2350,31.9,51.585,0.79,21.48,44680,4.9,8.79,16.75,22.28,26.75,29.54,18290,34830,46340,55640,61440,2011
688,AL,11500,"Anniston-Oxford, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,460,14.4,9.998,0.74,17.86,37140,6.6,8.12,9.32,16.03,23.58,29.4,16890,19390,33340,49050,61150,2011
693,AL,11500,"Anniston-Oxford, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,2670,8.9,58.552,1,26.83,55810,4.5,11.64,15.3,21.42,28.64,44.27,24200,31820,44560,59570,92080,2011
708,AL,11500,"Anniston-Oxford, AL",31-0000,Healthcare Support Occupations,major,1260,11.2,27.724,0.9,10.84,22550,2.5,7.78,8.45,9.74,11.75,15.47,16170,17570,20270,24440,32180,2011
716,AL,11500,"Anniston-Oxford, AL",33-0000,Protective Service Occupations,major,980,8.2,21.466,0.86,17.16,35690,4.7,8.55,12.13,17.25,21.02,25.85,17780,25220,35880,43710,53760,2011
722,AL,11500,"Anniston-Oxford, AL",35-0000,Food Preparation and Serving Related Occupations,major,3940,15.7,86.445,0.99,9.47,19690,1.8,7.62,8.04,8.75,9.85,13.53,15840,16720,18190,20500,28150,2011
734,AL,11500,"Anniston-Oxford, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1650,7.9,36.244,1.11,11.22,23350,3.8,7.87,8.65,10.37,13.51,16.62,16370,17990,21560,28110,34580,2011
739,AL,11500,"Anniston-Oxford, AL",39-0000,Personal Care and Service Occupations,major,1260,9.4,27.761,0.98,10.53,21910,5.1,7.65,8.14,8.94,11.41,16.27,15910,16920,18600,23730,33840,2011
746,AL,11500,"Anniston-Oxford, AL",41-0000,Sales and Related Occupations,major,5430,4.8,119.333,1.12,12.78,26580,3.2,7.81,8.4,9.44,14.25,22.09,16240,17480,19640,29640,45940,2011
756,AL,11500,"Anniston-Oxford, AL",43-0000,Office and Administrative Support Occupations,major,6710,3,147.44,0.88,14.56,30290,3.1,8.42,10.07,13.32,18.07,22.51,17510,20940,27710,37580,46810,2011
790,AL,11500,"Anniston-Oxford, AL",47-0000,Construction and Extraction Occupations,major,1320,4.7,29.018,0.75,17.86,37160,3,10.88,13.69,17.69,21.75,24.43,22640,28480,36790,45230,50810,2011
802,AL,11500,"Anniston-Oxford, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,3650,4,80.091,2.06,20.42,42460,3.1,13.03,17.44,21.02,23.81,26.18,27100,36270,43730,49530,54450,2011
819,AL,11500,"Anniston-Oxford, AL",51-0000,Production Occupations,major,5870,8.4,128.91,1.98,15.79,32830,5.9,9.57,10.67,14.97,20.09,23.84,19910,22190,31130,41780,49600,2011
844,AL,11500,"Anniston-Oxford, AL",53-0000,Transportation and Material Moving Occupations,major,3600,5.6,79.087,1.17,14.14,29420,3,8.19,9.38,13.26,17.24,21.81,17030,19520,27580,35860,45360,2011
862,AL,12220,"Auburn-Opelika, AL",11-0000,Management Occupations,major,1650,8.2,35.438,0.74,47.62,99050,5.5,23.15,31.06,42.17,56.16,80.65,48160,64590,87720,116820,167760,2011
874,AL,12220,"Auburn-Opelika, AL",13-0000,Business and Financial Operations Occupations,major,990,6.3,21.243,0.44,27.43,57060,3.1,15.92,19.5,25.37,34.84,43.27,33100,40570,52780,72480,90010,2011
882,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,major,580,5,12.425,0.47,26.72,55590,5.9,11,19.61,27.37,34.24,40.86,22880,40780,56930,71210,84990,2011
887,AL,12220,"Auburn-Opelika, AL",17-0000,Architecture and Engineering Occupations,major,520,6.9,11.118,0.62,30.73,63910,3.1,15.8,21.42,29.52,37.74,49.82,32860,44550,61410,78500,103620,2011
893,AL,12220,"Auburn-Opelika, AL",19-0000,"Life, Physical, and Social Science Occupations",major,570,3.4,12.244,1.45,28.59,59470,3.3,16.1,20.22,25.78,34.53,43.44,33490,42070,53620,71820,90350,2011
898,AL,12220,"Auburn-Opelika, AL",21-0000,Community and Social Service Occupations,major,500,10,10.677,0.72,21.92,45590,5.5,10.57,17.2,22.44,27.21,31.76,21980,35790,46670,56600,66070,2011
904,AL,12220,"Auburn-Opelika, AL",23-0000,Legal Occupations,major,130,14.2,2.841,0.36,30.23,62880,13.7,15.44,19.17,22.69,40.63,49.5,32120,39880,47200,84520,102960,2011
906,AL,12220,"Auburn-Opelika, AL",25-0000,"Education, Training, and Library Occupations",major,4530,5.8,97.29,1.48,30.93,64340,12.5,9.64,18.78,26.75,40.02,57.59,20050,39060,55650,83230,119780,2011
920,AL,12220,"Auburn-Opelika, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,610,5.5,13.016,0.97,26.6,55320,14,8.33,11.16,21.49,30.45,46.64,17320,23210,44690,63340,97020,2011
926,AL,12220,"Auburn-Opelika, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,2420,4.2,51.955,0.89,29.91,62210,7.3,12.48,17.26,24.31,30.98,51.41,25960,35890,50560,64440,106940,2011
938,AL,12220,"Auburn-Opelika, AL",31-0000,Healthcare Support Occupations,major,930,5.5,19.998,0.65,11.57,24070,3,7.98,8.93,10.64,13.31,16.71,16590,18580,22140,27690,34760,2011
944,AL,12220,"Auburn-Opelika, AL",33-0000,Protective Service Occupations,major,950,24.9,20.478,0.82,17.71,36830,4.3,8.68,12.32,17.22,22.16,27.63,18060,25630,35830,46100,57470,2011
949,AL,12220,"Auburn-Opelika, AL",35-0000,Food Preparation and Serving Related Occupations,major,4970,2.5,106.816,1.22,9.12,18970,1.4,7.59,7.98,8.62,9.26,11.86,15790,16590,17930,19260,24660,2011
962,AL,12220,"Auburn-Opelika, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2040,7.6,43.876,1.34,10.35,21520,3.3,7.68,8.2,9.06,11.28,14.66,15970,17050,18850,23460,30490,2011
968,AL,12220,"Auburn-Opelika, AL",39-0000,Personal Care and Service Occupations,major,1220,12.6,26.149,0.93,10.57,21970,4.1,7.66,8.16,9,11.81,16.05,15940,16980,18720,24560,33390,2011
976,AL,12220,"Auburn-Opelika, AL",41-0000,Sales and Related Occupations,major,6240,3,134.102,1.26,12.98,27010,3.4,7.83,8.47,9.77,13.62,21.56,16280,17630,20330,28330,44850,2011
