,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,ND,1010,"Bismarck, ND MSA",11-0000,Management occupations,major,2930,2.9,27.95,58140,3.3,13.21,17.94,23.83,33.38,45.92,27480,37310,49560,69430,95520,2003
23,ND,1010,"Bismarck, ND MSA",13-0000,Business and financial operations occupations,major,1790,9.9,23.05,47940,4.5,13.68,16.28,20.85,27.32,34.53,28460,33860,43370,56820,71810,2003
35,ND,1010,"Bismarck, ND MSA",15-0000,Computer and mathematical occupations,major,1000,20.9,23.03,47900,5.4,13.64,17.16,21.93,26.81,34.10,28380,35700,45610,55770,70920,2003
42,ND,1010,"Bismarck, ND MSA",17-0000,Architecture and engineering occupations,major,820,4.2,22.38,46550,4.2,12.25,15.16,20.32,27.40,36.45,25480,31530,42260,57000,75810,2003
51,ND,1010,"Bismarck, ND MSA",19-0000,"Life, physical, and social science occupations",major,510,2.8,21.47,44650,2.9,11.36,15.69,20.75,26.67,32.75,23630,32630,43160,55470,68120,2003
56,ND,1010,"Bismarck, ND MSA",21-0000,Community and social services occupations,major,680,9.8,13.78,28660,3.2,8.43,10.29,13.67,16.62,20.07,17540,21400,28430,34570,41740,2003
63,ND,1010,"Bismarck, ND MSA",23-0000,Legal occupations,major,350,23.9,24.06,50050,8.4,12.57,15.08,17.33,27.61,43.47,26140,31360,36050,57420,90410,2003
66,ND,1010,"Bismarck, ND MSA",25-0000,"Education, training, and library occupations",major,2750,9.4,14.61,30380,2.8,7.80,10.11,13.99,18.76,22.21,16220,21020,29100,39020,46190,2003
80,ND,1010,"Bismarck, ND MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,580,13.2,13.58,28250,7.1,6.08,8.02,12.49,16.21,22.87,12640,16680,25980,33710,47560,2003
92,ND,1010,"Bismarck, ND MSA",31-0000,Healthcare support occupations,major,1410,13.0,10.34,21500,2.3,7.63,8.73,9.90,11.11,13.58,15880,18160,20590,23110,28240,2003
98,ND,1010,"Bismarck, ND MSA",33-0000,Protective service occupations,major,760,8.3,15.13,31480,5.3,8.73,11.24,14.63,18.30,21.79,18170,23380,30440,38060,45330,2003
104,ND,1010,"Bismarck, ND MSA",35-0000,Food preparation and serving related occupations,major,4220,5.3,7.84,16310,1.5,5.72,6.22,7.11,9.01,11.26,11890,12940,14780,18730,23410,2003
120,ND,1010,"Bismarck, ND MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,1650,6.0,8.91,18530,2.2,6.19,7.20,8.33,10.13,12.66,12880,14970,17320,21070,26320,2003
125,ND,1010,"Bismarck, ND MSA",39-0000,Personal care and service occupations,major,2090,5.2,8.25,17150,2.2,5.78,6.43,7.75,9.03,12.05,12020,13380,16110,18780,25060,2003
133,ND,1010,"Bismarck, ND MSA",41-0000,Sales and related occupations,major,5480,4.9,12.58,26170,4.5,5.91,6.72,8.64,14.77,24.03,12300,13980,17980,30710,49980,2003
146,ND,1010,"Bismarck, ND MSA",43-0000,Office and administrative support occupations,major,9430,2.7,11.59,24110,1.9,7.35,8.86,10.85,13.46,17.09,15290,18420,22560,28010,35550,2003
178,ND,1010,"Bismarck, ND MSA",45-0000,"Farming, fishing, and forestry occupations",major,**,**,12.15,25280,4.0,9.48,10.14,11.21,13.17,16.10,19720,21080,23320,27390,33490,2003
179,ND,1010,"Bismarck, ND MSA",47-0000,Construction and extraction occupations,major,2360,5.6,14.11,29350,2.3,9.48,10.82,13.15,16.42,20.56,19730,22510,27340,34160,42760,2003
195,ND,1010,"Bismarck, ND MSA",49-0000,"Installation, maintenance, and repair occupations",major,1930,6.0,15.90,33070,2.8,8.71,11.26,15.24,19.62,24.87,18110,23410,31690,40820,51720,2003
210,ND,1010,"Bismarck, ND MSA",51-0000,Production occupations,major,2420,4.7,14.29,29720,6.1,7.43,8.87,13.35,18.54,22.69,15450,18460,27780,38560,47200,2003
223,ND,1010,"Bismarck, ND MSA",53-0000,Transportation and material moving occupations,major,2850,6.3,11.34,23580,3.0,6.40,7.72,10.16,13.35,18.67,13310,16050,21140,27770,38830,2003
237,ND,2520,"Fargo-Moorhead, ND-MN MSA",11-0000,Management occupations,major,5370,5.8,35.13,73070,2.4,15.69,20.79,28.55,42.59,63.64,32640,43240,59390,88590,132360,2003
262,ND,2520,"Fargo-Moorhead, ND-MN MSA",13-0000,Business and financial operations occupations,major,3050,9.1,23.61,49110,5.1,12.73,15.86,20.24,26.93,36.76,26470,32990,42090,56020,76460,2003
279,ND,2520,"Fargo-Moorhead, ND-MN MSA",15-0000,Computer and mathematical occupations,major,2530,18.7,25.31,52640,9.1,10.82,14.16,22.43,33.36,45.30,22500,29450,46660,69390,94230,2003
289,ND,2520,"Fargo-Moorhead, ND-MN MSA",17-0000,Architecture and engineering occupations,major,1550,9.3,23.50,48870,4.0,11.80,14.95,21.29,29.94,39.09,24530,31090,44270,62270,81300,2003
301,ND,2520,"Fargo-Moorhead, ND-MN MSA",19-0000,"Life, physical, and social science occupations",major,970,4.8,19.70,40970,6.2,11.37,13.66,16.66,22.74,34.13,23650,28420,34650,47300,70980,2003
308,ND,2520,"Fargo-Moorhead, ND-MN MSA",21-0000,Community and social services occupations,major,1530,12.7,14.31,29760,2.6,7.53,9.75,14.33,17.61,21.72,15650,20280,29810,36620,45170,2003
318,ND,2520,"Fargo-Moorhead, ND-MN MSA",23-0000,Legal occupations,major,610,9.1,26.38,54880,6.4,10.52,15.94,20.44,32.01,50.25,21870,33160,42520,66580,104510,2003
321,ND,2520,"Fargo-Moorhead, ND-MN MSA",25-0000,"Education, training, and library occupations",major,5920,4.2,17.68,36770,4.9,8.30,11.59,16.77,22.44,28.02,17270,24110,34870,46680,58290,2003
348,ND,2520,"Fargo-Moorhead, ND-MN MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,1450,12.9,15.12,31460,4.5,6.76,8.51,12.80,18.64,27.14,14060,17710,26610,38760,56460,2003
364,ND,2520,"Fargo-Moorhead, ND-MN MSA",29-0000,Healthcare practitioners and technical occupations,major,4020,24.7,24.02,49970,3.1,10.80,14.33,19.56,25.41,35.67,22470,29810,40690,52860,74180,2003
385,ND,2520,"Fargo-Moorhead, ND-MN MSA",31-0000,Healthcare support occupations,major,2760,12.4,10.29,21410,4.4,7.53,8.27,9.48,10.99,13.55,15660,17190,19710,22850,28180,2003
392,ND,2520,"Fargo-Moorhead, ND-MN MSA",33-0000,Protective service occupations,major,1200,4.1,14.83,30840,7.5,6.90,8.35,13.36,20.36,25.20,14340,17370,27800,42350,52420,2003
397,ND,2520,"Fargo-Moorhead, ND-MN MSA",35-0000,Food preparation and serving related occupations,major,9100,3.1,7.56,15730,1.5,5.64,6.13,7.00,8.44,10.41,11720,12760,14570,17550,21660,2003
413,ND,2520,"Fargo-Moorhead, ND-MN MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,3360,4.9,9.60,19960,2.2,6.48,7.51,8.65,10.91,14.15,13480,15620,18000,22690,29430,2003
419,ND,2520,"Fargo-Moorhead, ND-MN MSA",39-0000,Personal care and service occupations,major,2660,7.5,9.53,19820,3.6,5.91,6.66,8.15,11.13,14.84,12300,13860,16950,23140,30860,2003
430,ND,2520,"Fargo-Moorhead, ND-MN MSA",41-0000,Sales and related occupations,major,12230,3.8,13.24,27530,2.5,6.13,7.26,9.41,15.67,24.04,12740,15110,19580,32600,50000,2003
446,ND,2520,"Fargo-Moorhead, ND-MN MSA",43-0000,Office and administrative support occupations,major,18260,6.1,12.08,25130,1.7,7.53,9.18,11.38,14.26,17.65,15660,19090,23670,29670,36720,2003
486,ND,2520,"Fargo-Moorhead, ND-MN MSA",45-0000,"Farming, fishing, and forestry occupations",major,160,23.4,13.50,28070,3.3,8.74,10.97,12.96,15.71,19.65,18180,22820,26960,32680,40870,2003
488,ND,2520,"Fargo-Moorhead, ND-MN MSA",47-0000,Construction and extraction occupations,major,4970,4.2,16.37,34040,1.9,9.96,12.05,15.15,19.60,24.96,20710,25060,31510,40770,51910,2003
511,ND,2520,"Fargo-Moorhead, ND-MN MSA",49-0000,"Installation, maintenance, and repair occupations",major,3930,5.0,16.09,33470,1.7,9.67,12.16,15.46,19.50,23.76,20100,25300,32160,40560,49430,2003
535,ND,2520,"Fargo-Moorhead, ND-MN MSA",51-0000,Production occupations,major,6510,8.5,12.07,25100,2.2,7.69,8.76,10.83,13.93,18.54,16000,18210,22530,28970,38560,2003
563,ND,2520,"Fargo-Moorhead, ND-MN MSA",53-0000,Transportation and material moving occupations,major,7430,5.5,12.45,25900,2.4,6.87,8.41,11.18,15.62,20.36,14290,17500,23260,32490,42360,2003
